15b2 12ca
15d7 11c2
1602 1090
1652 100a
16f9 1067
1780 10be
17d8 104d
1873 0f50
18ae 0e42
1839 0d33
1839 0c85
1930 0c7a
1a36 0c1b
1ac7 0b0e
1b11 0a17
1b02 094c
1a99 08bb
1a65 08ab
1aca 0859
1b0d 073c
1afa 05da
1b71 04a1
1c34 03ea
1cbb 0410
1d49 0494
1d70 045f
1c84 0355
1b66 0232
1b57 016c
1bf0 00eb
1c62 0033
1c9f ff38
1cae fe4c
1c97 fd97
1c46 fd24
1bb5 fc9f
1b40 fbc2
1b17 fae6
1b0c fa1a
1b00 f902
1afc f7f7
1ad5 f7a7
1a9c f7cf
1acb f770
1ad8 f667
1a26 f546
197a f41f
1940 f332
1915 f2d2
18de f286
189f f1d7
1843 f11b
17d7 f0e0
1793 f105
17b8 f0fd
17d3 f031
173a ee9b
167a ed16
15f5 ec1d
1529 ebc1
145a ebc5
143d eb98
1487 eb99
142d ec31
12f4 ecb2
11ea ec68
119a eb71
1140 eaad
1091 ea83
1002 ea75
0fa4 e9ed
0fcb e8d9
10bd e82b
1141 e886
1078 e944
0f3d e9c9
0e2f e9a4
0d96 e887
0dcc e75a
0e3b e71b
0e3e e792
0e2e e7de
0e36 e749
0dd0 e699
0d4a e6c7
0d51 e717
0d77 e6d1
0d86 e65b
0da0 e667
0d59 e6b5
0ce8 e64c
0cf9 e564
0dc0 e52d
0ee1 e5fd
0fd2 e6ec
1093 e766
10ed e799
10dd e76e
10f0 e773
10ea e841
10eb e8cb
118b e8c5
1246 e939
12c5 e9a9
135d e958
13fb e95f
147d e9fa
14ea e9e1
1519 e94e
1513 e975
156c ea6f
162f eb79
1663 ec1f
15af ecbe
1508 ed9c
1595 ee54
1739 eeb8
1862 ef38
1858 f01d
1846 f13e
18dd f23a
195d f26e
1976 f1dd
197d f208
197b f384
1989 f4c1
19da f4e9
1a8b f4ce
1b81 f51d
1c32 f5d3
1c75 f6a5
1cbf f778
1d40 f8c0
1dad fa5a
1d8d fb2f
1d14 faf4
1d14 fab4
1d5c fb2f
1d0f fc0c
1c62 fd17
1bf5 fe3b
1bf5 fee1
1c89 ff61
1d14 0074
1d25 0136
1d6a 015a
1d85 021a
1d17 0315
1d14 035c
1d18 03ba
1c80 04b4
1c27 05d2
1c0e 0690
1bb8 06dd
1b3c 0759
1ab3 0838
1a41 0927
19b7 09eb
1904 0a41
18c5 0a52
195b 0ace
1a16 0bdb
1a1a 0c9d
198a 0d2c
18c6 0e5c
17e2 0f25
1725 0ef7
168b 0f2a
1610 0ff8
15ee 10f6
15b5 123f
1517 133a
1489 1373
143b 137b
13bc 13b9
1337 141a
135e 1482
13dd 14e6
1422 1578
141c 15d2
1371 1569
1208 1520
10d4 1592
108e 1625
10a8 16ab
1069 1751
0f93 180f
0e75 18e8
0d9b 199a
0cd1 19b9
0c18 198b
0bf4 19d1
0c0a 1a76
0bd9 1a9d
0b81 1a5f
0b0f 1a6e
0a3e 1ad6
0928 1b61
0855 1bb0
07d6 1b5c
077e 1a9e
0713 1a3b
0687 1a91
0672 1b09
06a7 1b0d
0652 1af3
05c9 1b05
0592 1b02
0534 1b03
0478 1b39
