05e9 0f94
071e 0d6c
07b6 0c21
07d7 0c16
07bb 0c92
0785 0d58
07f7 0d4f
0876 0bf4
0822 0ae4
07b6 0b13
0773 0be4
06c4 0cb6
066a 0d73
0727 0df6
07b5 0dec
06fc 0d68
05de 0c02
0539 097e
04f6 07e6
052a 090d
05e3 0b14
06bf 0ada
0800 08c0
0aa4 0846
0d18 0ac2
0c26 0d3d
097e 0d2a
095a 0b84
0bc2 0a4d
0da4 0aa1
0cc7 0b9d
0a9b 0b8d
0a12 0b40
0b4f 0bbd
0cb9 0b94
0cf3 0a7f
0ba8 0a4d
0a5d 0abc
0aaf 09a4
0c41 071e
0d56 05ac
0cfa 0647
0c65 0766
0d3c 07a3
0ee5 069f
0f6c 056c
0efb 05d9
0f04 0723
0ee8 06df
0e26 05a9
0dcd 0647
0d6e 0856
0bbc 0884
09c6 066e
098b 053a
0ab4 0565
0bf3 04b6
0d06 03cc
0e0c 0419
0f79 0462
1118 03ef
1106 0380
0f09 03bc
0d4d 0514
0cbb 05ea
0db7 0454
0fa0 0234
0fd9 01ef
0e42 02ec
0d29 03a7
0d9a 039a
0e45 0359
0da5 032d
0cd1 0305
0d3c 0346
0eaa 03ac
101b 0366
1070 028b
0f6a 021b
0df9 0231
0d90 020c
0e7c 022b
0f8c 0343
0fed 049d
0fc9 053e
0fe0 04f8
1013 04c9
0f89 05ee
0ed6 0797
0e8c 07fc
0de1 074c
0c9c 067c
0c1b 05f7
0cfd 0657
0d92 06f9
0d59 06b5
0d60 0652
0cf5 0620
0b84 05fe
0a2b 06d2
0a19 0778
0b3d 073e
0c08 0836
0ba7 0a34
0a68 0ae5
0908 0a17
08ce 09b4
0958 0abc
0988 0b7b
09f0 0aa8
0b03 0976
0c5a 0842
0ccc 07af
0ae6 09c1
076c 0cd6
0550 0d86
0626 0c2a
07f0 0b51
0831 0c79
0735 0e1c
066c 0d88
06a6 0bff
07b7 0c35
088d 0d42
08da 0dfc
0902 0e56
094c 0d76
094a 0c60
0863 0c26
07da 0bb9
0841 0bd3
0860 0d15
0880 0dfc
093d 0e60
093e 0eb2
0813 0e3b
07bd 0d3a
0804 0cb3
067e 0c63
048a 0bfe
050e 0c3f
074f 0d14
089a 0d99
07ef 0d6b
074d 0c41
07f5 0aac
0888 0aa9
08df 0cc5
09d1 0e82
0a91 0dd8
0a12 0c1c
0973 0b67
0a79 0b49
0c40 0a38
0d40 0861
0dab 077a
0db5 0861
0d28 0970
0cce 0958
0ce8 093c
0c04 0930
0afa 083f
0bf6 0785
0d42 0867
0ca1 0a31
0c14 0b10
0d33 0a72
0d87 0952
0c7f 085c
0cb3 078c
0dba 067b
0e2f 051b
0edd 04bc
0fb8 05da
1053 067b
110b 0560
1163 03c6
10b2 0269
101e 0156
1052 01bf
0faf 0352
0ea4 044e
0eef 0444
0f4d 03c7
0ea9 03ac
0df1 03b5
0d83 030f
0cff 0240
0c92 01a0
0cfb 00cb
0e72 010b
1026 0291
1081 02b1
