01b8 fd80
0233 fdb9
0229 00be
01d2 0582
01ab 07ac
01dc 053d
0315 01ca
04f6 00fb
0599 01d5
04d8 0114
048c fec9
0553 fe3a
0636 ff18
06b1 ff35
05dd ff9c
0323 001a
0189 fe86
02ca fc25
03dc fbc3
02d9 fc99
00f9 fcae
ffe6 fd25
ffba ff70
ffdd 020c
013a 0351
03c8 02f4
0586 0112
0611 fec8
05ec fd1e
03f1 fcd1
0095 fea9
ff15 0192
ffc5 03bb
001b 0485
0014 0404
0150 0246
0377 0143
045e 0360
0341 05c5
01df 057a
0149 03d0
018b 0167
02a8 ffb2
0324 00ad
02c2 018f
0372 00a0
0490 0144
04ac 0354
04dc 0331
048e 0189
01d5 005c
ff3b ff9b
0007 0043
0242 02d2
037f 04e6
0427 04e5
03f0 040c
028b 0389
0199 02d1
0188 017c
0143 00bd
0171 0162
02d6 02a2
03d6 035f
0360 0301
02b9 025c
01ff 01d9
0067 0148
ff97 01e7
0078 0351
01d5 0323
040d 01d3
0650 0248
05b3 03fd
02c9 0403
0067 0224
ffe2 0039
005b 0017
ff75 014d
fd68 01e3
fd29 0210
ffd6 0293
0376 0324
04a9 03e5
0240 03c9
ffe0 0208
0079 00f5
016f 0187
008e 024e
ff8c 033e
ff82 042c
ff94 03cc
ff1c 01f8
fe04 000d
fc58 ff2e
fb18 ffa4
fbc7 011a
fdb2 0209
fe94 01af
fdca 0174
fcd9 026a
fcf6 0470
fd16 0642
fd02 05b0
fedf 0348
0125 0227
0048 0267
fe9d 023a
fe79 0153
fe44 ff79
fe9d fdfd
ffd7 fe9b
000f 006a
ff6c 0304
feab 0537
fdb0 0421
fd61 012f
fe2f 008a
fefd 026f
ff43 03e9
fedf 03b2
fd8f 0328
fc2c 02cb
fba8 0202
fbbc 01e4
fc14 02c0
fcd3 0342
fd32 02a5
fcd9 00aa
fcfd ff2f
fe15 ff7d
ff1d 0005
ff1a 002c
fe40 ffed
fd1f ff42
fbe7 ff1b
fb49 0015
fc6e 01dd
fee8 031f
0080 0309
001b 02ae
fe6c 0281
fd0c 0193
fcc7 ffd5
fc89 fddd
fc92 fd17
fd48 fe91
fdb9 00b8
fe3d 01eb
fe82 020b
fdcd 01da
fc1e 01cb
f9e4 00c8
f8b8 ff80
f966 ffe9
fb7e 00e8
fd2a 015d
fd1a 01ed
fdc4 01fc
008c 0133
025f 008a
014f 0056
ffae 003b
ff61 ff25
ff2a fd97
fdf3 fd9f
fcc7 fe81
fcb1 fee5
fcbc fed3
fd06 fe36
ff55 fe97
017a 009c
0013 00db
fcb2 fe2d
fa40 fca4
f983 fdd2
fa61 fec1
fc5f fe10
fe33 fd4a
fe6b fd6e
fd51 fd26
fc2a fba1
fbd7 fb52
fc83 fde1
fd30 ffe8
fda6 fefe
fe22 fe3d
fe5b fef4
fede ff49
ffc6 ff27
0079 fea3
004d fd9d
fec1 fcac
fcc8 fc10
fbb3 fbe1
fc59 fb8c
fda0 fb06
fd6d fb20
fcfd fb91
fdce fb8a
fe05 fb3e
fcaa fb43
fbee fb2f
fca6 fb4e
fd54 fc9b
fdc7 fe99
febf ffa5
0013 ff46
0113 ff44
013d ffae
